CONTRACT,TENURE,TECHSUPPORT,INTERNETSERVICE,ONLINESECURITY,DEVICEPROTECTION,MONTHLYCHARGES,PAYMENTMETHOD,STREAMINGMOVIES,ONLINEBACKUP,CHURN
Month-to-month,1,No,DSL,No,No,29.85,Electronic check,No,Yes,0
One year,34,No,DSL,Yes,Yes,56.95,Mailed check,No,No,0
Month-to-month,2,No,DSL,Yes,No,53.85,Mailed check,No,Yes,1
One year,45,Yes,DSL,Yes,Yes,42.3,Bank transfer (automatic),No,No,0
Month-to-month,2,No,Fiber optic,No,No,70.7,Electronic check,No,No,1
Month-to-month,8,No,Fiber optic,No,Yes,99.65,Electronic check,Yes,No,1
Month-to-month,22,No,Fiber optic,No,No,89.1,Credit card (automatic),No,Yes,0
Month-to-month,10,No,DSL,Yes,No,29.75,Mailed check,No,No,0
Month-to-month,28,Yes,Fiber optic,No,Yes,104.8,Electronic check,Yes,No,1
One year,62,No,DSL,Yes,No,56.15,Bank transfer (automatic),No,Yes,0
Month-to-month,13,No,DSL,Yes,No,49.95,Mailed check,No,No,0
Two year,16,No internet service,No,No internet service,No internet service,18.95,Credit card (automatic),No internet service,No internet service,0
One year,58,No,Fiber optic,No,Yes,100.35,Credit card (automatic),Yes,No,0
Month-to-month,49,No,Fiber optic,No,Yes,103.7,Bank transfer (automatic),Yes,Yes,1
Month-to-month,25,Yes,Fiber optic,Yes,Yes,105.5,Electronic check,Yes,No,0
Two year,69,Yes,Fiber optic,Yes,Yes,113.25,Credit card (automatic),Yes,Yes,0
One year,52,No internet service,No,No internet service,No internet service,20.65,Mailed check,No internet service,No internet service,0
Two year,71,No,Fiber optic,Yes,Yes,106.7,Bank transfer (automatic),Yes,No,0
Month-to-month,10,Yes,DSL,No,Yes,55.2,Credit card (automatic),No,No,1
Month-to-month,21,No,Fiber optic,No,Yes,90.05,Electronic check,Yes,Yes,0
Month-to-month,1,No,DSL,No,Yes,39.65,Electronic check,Yes,No,1
One year,12,No internet service,No,No internet service,No internet service,19.8,Bank transfer (automatic),No internet service,No internet service,0
Month-to-month,1,No internet service,No,No internet service,No internet service,20.15,Mailed check,No internet service,No internet service,1
Two year,58,Yes,DSL,No,No,59.9,Credit card (automatic),No,Yes,0
Month-to-month,49,Yes,DSL,Yes,No,59.6,Credit card (automatic),No,Yes,0
Month-to-month,30,No,DSL,Yes,No,55.3,Bank transfer (automatic),No,Yes,0
Month-to-month,47,No,Fiber optic,No,No,99.35,Electronic check,Yes,Yes,1
Month-to-month,1,No,DSL,No,No,30.2,Electronic check,No,Yes,1
Two year,72,Yes,DSL,Yes,Yes,90.25,Credit card (automatic),Yes,Yes,0
Month-to-month,17,No,DSL,No,No,64.7,Mailed check,Yes,No,1
Two year,71,Yes,Fiber optic,Yes,Yes,96.35,Credit card (automatic),No,Yes,0
Month-to-month,2,No,Fiber optic,No,Yes,95.5,Credit card (automatic),Yes,No,0
One year,27,Yes,DSL,Yes,Yes,66.15,Mailed check,No,Yes,0
Month-to-month,1,No internet service,No,No internet service,No internet service,20.2,Bank transfer (automatic),No internet service,No internet service,0
Month-to-month,1,No,DSL,No,No,45.25,Bank transfer (automatic),No,No,0
Two year,72,Yes,Fiber optic,Yes,No,99.9,Bank transfer (automatic),No,Yes,0
Month-to-month,5,No,Fiber optic,No,No,69.7,Electronic check,No,No,1
Month-to-month,46,No,Fiber optic,No,Yes,74.8,Credit card (automatic),No,No,0
Month-to-month,34,No,Fiber optic,No,Yes,106.35,Electronic check,Yes,Yes,1
Month-to-month,11,No,Fiber optic,No,Yes,97.85,Bank transfer (automatic),Yes,No,1
One year,10,No,DSL,No,No,49.55,Mailed check,No,Yes,0
Two year,70,No,DSL,Yes,No,69.2,Credit card (automatic),No,Yes,0
One year,17,No internet service,No,No internet service,No internet service,20.75,Mailed check,No internet service,No internet service,0
Two year,63,Yes,DSL,Yes,Yes,79.85,Credit card (automatic),No,Yes,0
Month-to-month,13,Yes,DSL,Yes,No,76.2,Electronic check,No,Yes,0
Month-to-month,49,No,Fiber optic,No,No,84.5,Electronic check,Yes,No,0
Month-to-month,2,No,DSL,No,No,49.25,Mailed check,No,Yes,0
Month-to-month,2,No,Fiber optic,No,No,80.65,Electronic check,No,No,1
Two year,52,Yes,DSL,Yes,No,79.75,Credit card (automatic),Yes,No,0
Two year,69,Yes,DSL,Yes,Yes,64.15,Credit card (automatic),No,No,0
Month-to-month,43,No,Fiber optic,No,No,90.25,Electronic check,No,Yes,0
Month-to-month,15,No,Fiber optic,Yes,No,99.1,Credit card (automatic),Yes,Yes,1
Month-to-month,25,Yes,DSL,Yes,No,69.5,Credit card (automatic),No,No,0
Month-to-month,8,No,Fiber optic,No,No,80.65,Credit card (automatic),No,Yes,1
One year,60,Yes,DSL,Yes,Yes,74.85,Credit card (automatic),Yes,Yes,0
Month-to-month,18,No,Fiber optic,No,No,95.45,Electronic check,Yes,No,1
One year,63,No,Fiber optic,Yes,No,99.65,Credit card (automatic),Yes,No,0
One year,66,Yes,Fiber optic,No,Yes,108.45,Electronic check,Yes,Yes,0
Two year,34,No internet service,No,No internet service,No internet service,24.95,Credit card (automatic),No internet service,No internet service,0
Two year,72,Yes,Fiber optic,No,Yes,107.5,Credit card (automatic),Yes,No,0
Month-to-month,47,No,Fiber optic,No,Yes,100.5,Electronic check,Yes,No,0
Month-to-month,60,No,Fiber optic,No,No,89.9,Bank transfer (automatic),No,Yes,0
Two year,72,No,DSL,Yes,Yes,42.1,Bank transfer (automatic),No,Yes,0
One year,18,Yes,DSL,No,Yes,54.4,Credit card (automatic),No,No,0
Month-to-month,9,No,Fiber optic,No,No,94.4,Electronic check,Yes,No,1
Month-to-month,3,Yes,DSL,No,No,75.3,Electronic check,Yes,Yes,0
One year,47,No,Fiber optic,No,No,78.9,Electronic check,No,Yes,0
Two year,31,Yes,DSL,No,Yes,79.2,Mailed check,Yes,Yes,0
Two year,50,No internet service,No,No internet service,No internet service,20.15,Bank transfer (automatic),No internet service,No internet service,0
Month-to-month,10,No,Fiber optic,Yes,Yes,79.85,Mailed check,No,No,0
Month-to-month,1,Yes,DSL,No,No,49.05,Mailed check,No,No,0
One year,52,No internet service,No,No internet service,No internet service,20.4,Electronic check,No internet service,No internet service,0
Two year,64,Yes,Fiber optic,Yes,Yes,111.6,Bank transfer (automatic),Yes,No,0
Two year,62,No internet service,No,No internet service,No internet service,24.25,Bank transfer (automatic),No internet service,No internet service,0
Month-to-month,3,Yes,DSL,Yes,No,64.5,Bank transfer (automatic),Yes,No,0
One year,56,No,Fiber optic,Yes,Yes,110.5,Electronic check,Yes,Yes,0
One year,46,No,DSL,No,No,55.65,Credit card (automatic),Yes,No,0
Month-to-month,8,No,DSL,Yes,No,54.65,Mailed check,No,Yes,0
Month-to-month,30,No,DSL,Yes,No,74.75,Electronic check,Yes,Yes,0
One year,45,No internet service,No,No internet service,No internet service,25.9,Credit card (automatic),No internet service,No internet service,0
Month-to-month,1,No,Fiber optic,No,No,79.35,Electronic check,No,No,1
Month-to-month,11,No,DSL,Yes,No,50.55,Electronic check,Yes,No,0
Month-to-month,7,No,Fiber optic,No,Yes,75.15,Bank transfer (automatic),No,No,1
Month-to-month,42,Yes,Fiber optic,No,Yes,103.8,Bank transfer (automatic),Yes,Yes,0
Two year,49,No internet service,No,No internet service,No internet service,20.15,Bank transfer (automatic),No internet service,No internet service,0
Month-to-month,9,No,Fiber optic,No,No,99.3,Credit card (automatic),Yes,Yes,0
One year,35,No,DSL,Yes,No,62.15,Bank transfer (automatic),No,No,0
Two year,48,No internet service,No,No internet service,No internet service,20.65,Bank transfer (automatic),No internet service,No internet service,0
Two year,46,No internet service,No,No internet service,No internet service,19.95,Mailed check,No internet service,No internet service,0
Month-to-month,29,No,DSL,No,No,33.75,Mailed check,No,No,0
Month-to-month,30,No,Fiber optic,No,Yes,82.05,Bank transfer (automatic),No,Yes,0
Month-to-month,1,Yes,Fiber optic,No,No,74.7,Electronic check,No,No,0
Two year,66,Yes,DSL,Yes,Yes,84.0,Mailed check,Yes,No,0
Month-to-month,65,No,Fiber optic,Yes,Yes,111.05,Credit card (automatic),Yes,Yes,0
Two year,72,No,Fiber optic,No,Yes,100.9,Bank transfer (automatic),Yes,Yes,0
Month-to-month,12,No,Fiber optic,Yes,No,78.95,Electronic check,No,No,1
One year,71,Yes,DSL,Yes,No,66.85,Credit card (automatic),No,Yes,0
Month-to-month,5,No internet service,No,No internet service,No internet service,21.05,Mailed check,No internet service,No internet service,1
Two year,52,No internet service,No,No internet service,No internet service,21.0,Bank transfer (automatic),No internet service,No internet service,0
Month-to-month,25,No,Fiber optic,No,Yes,98.5,Electronic check,Yes,Yes,1
Month-to-month,1,No internet service,No,No internet service,No internet service,20.2,Mailed check,No internet service,No internet service,0
Month-to-month,1,No internet service,No,No internet service,No internet service,19.45,Electronic check,No internet service,No internet service,0
One year,38,Yes,Fiber optic,No,Yes,95.0,Bank transfer (automatic),No,No,0
One year,66,No,DSL,No,Yes,45.55,Bank transfer (automatic),No,Yes,0
Two year,68,Yes,Fiber optic,No,Yes,110.0,Bank transfer (automatic),Yes,Yes,1
Month-to-month,5,No,DSL,No,No,24.3,Mailed check,No,No,0
One year,72,No,Fiber optic,Yes,No,104.15,Electronic check,Yes,Yes,0
One year,32,No,DSL,Yes,No,30.15,Mailed check,No,No,0
One year,43,No,Fiber optic,No,No,94.35,Mailed check,Yes,No,0
Two year,72,No internet service,No,No internet service,No internet service,19.4,Credit card (automatic),No internet service,No internet service,0
Month-to-month,55,No,Fiber optic,Yes,No,96.75,Electronic check,No,Yes,1
One year,52,Yes,DSL,Yes,Yes,57.95,Credit card (automatic),No,No,0
Month-to-month,43,No,Fiber optic,No,Yes,91.65,Electronic check,No,Yes,0
Month-to-month,37,No,Fiber optic,No,No,76.5,Electronic check,No,No,1
Two year,64,Yes,DSL,No,No,54.6,Electronic check,Yes,Yes,0
Month-to-month,3,No,Fiber optic,Yes,No,89.85,Electronic check,No,Yes,0
Two year,36,No,DSL,Yes,No,31.05,Bank transfer (automatic),No,No,0
Month-to-month,10,No,Fiber optic,Yes,No,100.25,Electronic check,Yes,No,1
Two year,41,No internet service,No,No internet service,No internet service,20.65,Mailed check,No internet service,No internet service,0
Month-to-month,27,Yes,Fiber optic,No,No,85.2,Credit card (automatic),No,Yes,0
One year,56,No,Fiber optic,No,Yes,99.8,Credit card (automatic),Yes,No,0
Month-to-month,6,No internet service,No,No internet service,No internet service,20.7,Mailed check,No internet service,No internet service,0
Month-to-month,3,No,Fiber optic,No,No,74.4,Electronic check,No,No,1
Month-to-month,7,No,DSL,Yes,No,50.7,Mailed check,No,No,0
Month-to-month,4,No internet service,No,No internet service,No internet service,20.85,Mailed check,No internet service,No internet service,0
Two year,33,Yes,Fiber optic,Yes,No,88.95,Electronic check,No,No,0
Month-to-month,27,No,Fiber optic,No,Yes,78.05,Electronic check,No,No,1
Two year,72,No internet service,No,No internet service,No internet service,23.55,Bank transfer (automatic),No internet service,No internet service,0
Month-to-month,1,No internet service,No,No internet service,No internet service,19.75,Mailed check,No internet service,No internet service,0
One year,71,No,DSL,Yes,No,56.45,Electronic check,Yes,Yes,0
Month-to-month,13,No,Fiber optic,No,No,85.95,Electronic check,Yes,No,0
Month-to-month,25,No,DSL,Yes,Yes,58.6,Credit card (automatic),Yes,Yes,1
Two year,67,Yes,DSL,No,No,50.55,Bank transfer (automatic),No,No,0
Month-to-month,1,No,DSL,No,No,35.45,Electronic check,Yes,No,1
Month-to-month,2,No,DSL,No,No,44.35,Electronic check,No,No,1
Two year,43,No internet service,No,No internet service,No internet service,25.7,Credit card (automatic),No internet service,No internet service,0
